"DONNEES - Effectifs des médecins"
"ANNEE - 2018"
"SEXE - Ensemble tous sexes confondus"
"AGE - Ensemble tous âges confondus"

MODE EXERCICE,"Ensemble des modes d'exercice","Libéraux exclusifs","Mixtes","Salariés hospitaliers","Autres salariés"
"SPECIALITE",
"Ensemble des spécialités d'exercice",226219,103335,26423,69306,27155
"Spécialistes",123753,43121,18567,50345,11720
"Anatomie et cytologie pathologiques",1657,599,165,841,52
"Anesthésie-réanimation",11497,3832,767,6454,444
"Biologie médicale",3018,1154,64,1279,521
"Cardiologie et maladies vasculaires",7175,3202,1802,1969,202
"Chirurgie générale",3563,905,488,2047,123
"Chirurgie maxillo-faciale et stomatologie",1137,704,257,137,39
"Chirurgie orthopédique et traumatologie",3404,1746,799,796,63
"Chirurgie infantile",341,39,80,210,12
"Chirurgie plastique reconstructrice et esthétique",950,583,253,108,6
"Chirurgie thoracique et cardio-vasculaire",474,122,148,198,6
"Chirurgie urologique",1311,638,362,293,18
"Chirurgie vasculaire",549,252,127,159,11
"Chirurgie viscérale et digestive",1065,390,206,452,17
"Dermatologie et vénéréologie",3918,2381,813,568,156
"Endocrinologie et métabolisme",1965,522,325,1034,84
"Génétique médicale",257,5,4,233,15
"Gériatrie",1997,62,65,1491,379
"Gynécologie médicale",2795,1717,557,336,185
"Gynécologie-obstétrique",5030,1830,1170,1922,108
"Hématologie",733,32,33,633,35
"Gastro-entérologie et hépatologie",3842,1381,814,1531,116
"Médecine du travail",5291,41,15,533,4702
"Médecine interne",2466,214,145,1958,149
"Médecine nucléaire",750,215,216,303,16
"Médecine physique et réadaptation",2239,307,157,1474,301
"Néphrologie",1782,308,224,1047,203
"Neurochirurgie",587,139,94,343,11
"Neurologie",2648,498,426,1652,72
"ORL et chirurgie cervico-faciale",3040,1385,895,677,83
"Oncologie option médicale",1069,165,61,800,43
"Ophtalmologie",5899,3750,1308,586,255
"Pédiatrie",8205,2110,1046,4291,758
"Pneumologie",3090,782,492,1681,135
"Psychiatrie",15388,4623,1827,7735,1203
"Radiodiagnostic et imagerie médicale",8885,4958,1625,2069,233
"Radiothérapie",921,315,150,426,30
"Réanimation médicale",481,33,8,435,5
"Recherche médicale",14,1,0,9,4
"Rhumatologie",2615,1162,572,756,125
"Santé publique et médecine sociale",1705,19,7,879,800
"Généralistes",102466,60214,7856,18961,15435
"Médecine générale",102466,60214,7856,18961,15435
