"DONNEES - Effectifs des médecins"
"ANNEE - 2018"
"SEXE - Ensemble tous sexes confondus"

,ZONE INSCRIPT,"FRANCE ENTIERE","FRANCE Métropolitaine","DROM","Auvergne-Rhône-Alpes","Bourgogne-Franche-Comté","Bretagne","Centre-Val de Loire","Corse","Grand Est","Guadeloupe","Guyane","Hauts-de-France","Ile-de-France","La Réunion","Martinique","Mayotte","Normandie","Nouvelle-Aquitaine","Occitanie","Pays de la Loire","Provence-Alpes-Côte d’Azur","01 - Ain","02 - Aisne","03 - Allier","04 - Alpes-de-Haute-Provence","05 - Hautes-Alpes","06 - Alpes-Maritimes","07 - Ardèche","08 - Ardennes","09 - Ariège","10 - Aube","11 - Aude","12 - Aveyron","13 - Bouches-du-Rhône","14 - Calvados","15 - Cantal","16 - Charente","17 - Charente-Maritime","18 - Cher","19 - Corrèze","2A - Corse-du-Sud","2B - Haute-Corse","21 - Côte-d’Or","22 - Côtes-d’Armor","23 - Creuse","24 - Dordogne","25 - Doubs","26 - Drôme","27 - Eure","28 - Eure-et-Loir","29 - Finistère","30 - Gard","31 - Haute-Garonne","32 - Gers","33 - Gironde","34 - Hérault","35 - Ille-et-Vilaine","36 - Indre","37 - Indre-et-Loire","38 - Isère","39 - Jura","40 - Landes","41 - Loir-et-Cher","42 - Loire","43 - Haute-Loire","44 - Loire-Atlantique","45 - Loiret","46 - Lot","47 - Lot-et-Garonne","48 - Lozère","49 - Maine-et-Loire","50 - Manche","51 - Marne","52 - Haute-Marne","53 - Mayenne","54 - Meurthe-et-Moselle","55 - Meuse","56 - Morbihan","57 - Moselle","58 - Nièvre","59 - Nord","60 - Oise","61 - Orne","62 - Nord-Pas-de-Calais","63 - Puy-de-Dôme","64 - Pyrénées-Atlantiques","65 - Hautes-Pyrénées","66 - Pyrénées-Orientales","67 - Bas-Rhin","68 - Haut-Rhin","69 - Rhône","70 - Haute-Saône","71 - Saône-et-Loire","72 - Sarthe","73 - Savoie","74 - Haute-Savoie","75 - Paris","76 - Seine-Maritime","77 - Seine-et-Marne","78 - Yvelines","79 - Deux-Sèvres","80 - Somme","81 - Tarn","82 - Tarn-et-Garonne","83 - Var","84 - Vaucluse","85 - Vendée","86 - Vienne","87 - Haute-Vienne","88 - Vosges","89 - Yonne","90 - Territoire de Belfort","91 - Essonne","92 - Hauts-de-Seine","93 - Seine-Saint-Denis","94 - Val-de-Marne","95 - Val-d’Oise","971 - Guadeloupe","972 - Martinique","973 - Guyane","974 - La Réunion","976 - Mayotte"
"SPECIALITE","MODE EXERCICE",
"Ensemble des spécialités d'exercice","Ensemble des modes d'exercice",226219,220398,5821,27117,8373,10654,6844,1023,17809,1138,597,18196,48236,2796,1091,199,9642,20123,20875,10900,20606,1196,1234,969,492,623,4989,792,653,433,728,1096,748,9037,2549,420,909,2011,648,676,508,515,2083,1591,279,984,1939,1526,1013,930,3114,2314,5820,468,6709,5049,3662,478,2329,4358,630,1131,805,2580,515,4814,1654,469,842,180,2655,1272,1962,458,613,2959,402,2287,2847,485,9364,1797,687,3768,2372,2604,802,1639,4546,2319,8326,557,1454,1335,1585,2478,18726,4121,3022,4116,887,2033,1170,687,3591,1874,1483,1545,1546,935,752,473,3256,6426,4195,5360,3135,1138,1091,597,2796,199
"Ensemble des spécialités d'exercice","Libéraux exclusifs",103335,100580,2755,12348,3516,5068,3204,568,8138,519,178,8214,17572,1544,481,33,4338,10217,11062,5416,10919,578,507,436,252,248,2708,426,319,185,338,545,340,4540,1077,191,460,1068,308,306,278,290,787,755,107,516,856,741,536,395,1472,1181,3187,249,3647,2608,1765,219,1137,1986,280,625,408,1061,245,2489,737,215,421,72,1275,574,858,191,275,1216,168,1076,1301,237,4242,833,265,1769,1036,1485,411,1016,2210,1098,3598,270,594,669,785,1265,5763,1886,1384,1979,365,863,620,433,2197,974,708,621,596,439,315,177,1507,2449,1517,1620,1353,519,481,178,1544,33
"Ensemble des spécialités d'exercice","Mixtes",26423,26105,318,2987,1137,948,716,94,2287,77,33,1980,7274,101,106,1,1037,2065,2116,976,2488,162,234,136,75,66,659,77,62,54,82,123,80,1197,332,42,81,190,95,107,45,49,325,134,45,102,213,112,87,121,273,260,539,44,575,671,306,55,173,508,70,120,82,318,70,379,190,38,85,31,261,88,223,69,78,377,71,235,392,67,838,188,89,473,212,236,40,108,606,290,971,46,224,107,138,241,3285,441,446,532,130,247,99,29,264,227,151,187,207,115,125,67,417,859,548,738,449,77,106,33,101,1
"Ensemble des spécialités d'exercice","Salariés hospitaliers",69306,67106,2200,8639,2746,3415,2169,265,5406,415,319,5807,16293,919,397,150,3215,5577,5303,3238,5033,304,366,308,114,231,1143,217,184,148,204,284,241,2306,878,142,253,542,162,198,133,132,713,518,91,250,667,474,291,321,1060,605,1453,119,1736,1179,1123,143,800,1357,206,270,228,894,147,1377,515,149,209,46,857,452,674,145,186,1005,120,714,830,121,2978,595,248,1128,833,590,264,332,1280,681,2750,184,464,380,493,720,6852,1346,875,1087,279,740,314,169,767,472,438,570,589,283,223,168,923,1912,1344,2352,948,415,397,319,919,150
"Ensemble des spécialités d'exercice","Autres salariés",27155,26607,548,3143,974,1223,755,96,1978,127,67,2195,7097,232,107,15,1052,2264,2394,1270,2166,152,127,89,51,78,479,72,88,46,104,144,87,994,262,45,115,211,83,65,52,44,258,184,36,116,203,199,99,93,309,268,641,56,751,591,468,61,219,507,74,116,87,307,53,569,212,67,127,31,262,158,207,53,74,361,43,262,324,60,1306,181,85,398,291,293,87,183,450,250,1007,57,172,179,169,252,2826,448,317,518,113,183,137,56,363,201,186,167,154,98,89,61,409,1206,786,650,385,127,107,67,232,15
"Spécialistes","Ensemble des modes d'exercice",123753,120937,2816,14577,4312,5364,3638,503,9452,561,239,9328,30548,1374,563,79,4940,10236,11010,5455,11574,517,642,476,193,275,2976,373,284,168,355,523,332,5319,1380,176,422,916,314,315,257,246,1211,737,115,424,1042,763,430,471,1557,1199,3372,181,3813,2910,1984,206,1343,2315,253,475,400,1356,193,2493,904,196,407,73,1388,586,1091,189,262,1667,147,1086,1468,231,5029,859,303,1755,1341,1331,349,792,2591,1251,5065,216,739,666,758,1244,13308,2241,1604,2368,367,1043,580,335,1824,987,646,831,820,409,358,262,1770,3903,2317,3513,1765,561,563,239,1374,79
"Spécialistes","Libéraux exclusifs",43121,42130,991,5048,1252,1793,1339,269,3088,209,60,2739,8737,541,174,7,1562,4169,4782,2022,5330,173,153,165,69,79,1421,149,82,43,139,221,91,2269,403,58,168,358,106,106,137,132,310,240,28,199,311,268,141,144,506,504,1550,60,1722,1234,684,77,509,809,72,207,172,375,50,983,331,51,165,21,470,192,331,57,83,474,39,363,474,103,1516,258,72,550,425,713,142,416,932,435,1769,55,218,269,291,516,3448,754,546,939,105,262,252,197,1024,468,217,212,186,125,117,66,667,1287,583,701,566,209,174,60,541,7
"Spécialistes","Mixtes",18567,18374,193,2011,733,657,455,51,1625,48,10,1394,5667,67,68,0,683,1325,1355,646,1772,102,175,86,50,43,507,44,47,31,46,66,54,849,222,25,62,127,71,57,27,24,211,96,17,46,137,80,57,82,194,164,371,22,430,444,214,22,119,316,45,73,46,207,38,255,115,22,56,12,154,48,157,30,48,258,40,153,280,37,572,150,58,317,135,146,26,67,463,225,720,27,136,82,96,162,2700,298,306,401,74,180,60,16,181,142,107,118,119,79,81,59,308,658,390,570,334,48,68,10,67,0
"Spécialistes","Salariés hospitaliers",50345,48942,1403,6202,1922,2403,1544,143,3924,253,151,4225,12859,663,269,67,2290,3828,3804,2300,3498,179,264,197,50,124,834,141,108,76,135,182,157,1735,659,81,151,353,100,125,71,72,561,332,54,134,508,320,190,215,726,420,1125,79,1328,936,871,88,622,997,111,151,147,644,85,1035,372,101,139,27,662,282,523,83,105,783,55,474,598,68,2283,381,141,752,648,348,146,233,985,482,2130,107,316,243,316,464,5687,1018,600,810,161,545,217,105,463,292,255,433,451,172,133,118,619,1459,1034,1946,704,253,269,151,663,67
